id,report_type,registry,resource_identifier,package_name,status,verified_at,created_at,tags,source,threat_description
a9041ef6-c398-45ac-b555-faee88fd0ae9,repository,null,https://github.com/zakaria-akash/rapid-mart,null,verified,2026-07-08 09:26:05.18016+00,2026-07-08 08:42:19.848865+00,"[""supply-chain"",""backdoor"",""dprk"",""contagious-interview"",""polinrider""]",null,"PolinRider backdoor injection (rmcej%otb% variant) - obfuscated JavaScript payload appended to postcss.config.mjs. Shuffle-cipher deobfuscation with blockchain dead-drop C2 (TRON/Aptos/BSC). Part of confirmed DPRK Contagious Interview campaign targeting ~1,951 known victim repos."
b63703b6-ecf8-4435-a21f-53ee2165d1ec,repository,null,https://github.com/zainjaved-ui/INoteBook,null,verified,2026-07-08 09:26:05.18016+00,2026-07-08 08:42:18.893608+00,"[""supply-chain"",""backdoor"",""dprk"",""contagious-interview"",""polinrider""]",null,"PolinRider backdoor injection (rmcej%otb% variant) - obfuscated JavaScript payload appended to Backend/routes/auth.js. Shuffle-cipher deobfuscation with blockchain dead-drop C2 (TRON/Aptos/BSC). Part of confirmed DPRK Contagious Interview campaign targeting ~1,951 known victim repos."
cb0b2b5e-96ac-4d0a-8d0e-f4fa9b04642e,repository,null,https://github.com/zainabkhan9118/SFour00,null,verified,2026-07-08 09:26:05.18016+00,2026-07-08 08:42:17.042745+00,"[""supply-chain"",""backdoor"",""dprk"",""contagious-interview"",""polinrider""]",null,"PolinRider backdoor injection (rmcej%otb% variant) - obfuscated JavaScript payload appended to tailwind.config.js. Shuffle-cipher deobfuscation with blockchain dead-drop C2 (TRON/Aptos/BSC). Part of confirmed DPRK Contagious Interview campaign targeting ~1,951 known victim repos."
e60e5d5e-918e-4e8e-8e2a-c94c42072382,repository,null,https://github.com/yowai-hit0/resolvety,null,verified,2026-07-08 09:26:05.18016+00,2026-07-08 08:42:16.352352+00,"[""supply-chain"",""backdoor"",""dprk"",""contagious-interview"",""polinrider""]",null,"PolinRider backdoor injection (rmcej%otb% variant) - obfuscated JavaScript payload appended to v1/ui/postcss.config.mjs. Shuffle-cipher deobfuscation with blockchain dead-drop C2 (TRON/Aptos/BSC). Part of confirmed DPRK Contagious Interview campaign targeting ~1,951 known victim repos."
417fd67a-6109-4cab-a2e0-17c5e81a3785,repository,null,https://github.com/yogeshtiwari12/test_project,null,verified,2026-07-08 09:26:05.18016+00,2026-07-08 08:42:16.141023+00,"[""supply-chain"",""backdoor"",""dprk"",""contagious-interview"",""polinrider""]",null,"PolinRider backdoor injection (rmcej%otb% variant) - obfuscated JavaScript payload appended to postcss.config.mjs. Shuffle-cipher deobfuscation with blockchain dead-drop C2 (TRON/Aptos/BSC). Part of confirmed DPRK Contagious Interview campaign targeting ~1,951 known victim repos."
94952891-13ed-4ee0-8992-4a3413bd67a3,repository,null,https://github.com/yogeshtiwari12/todo_3f,null,verified,2026-07-08 09:26:05.18016+00,2026-07-08 08:42:15.708206+00,"[""supply-chain"",""backdoor"",""dprk"",""contagious-interview"",""polinrider""]",null,"PolinRider backdoor injection (rmcej%otb% variant) - obfuscated JavaScript payload appended to tailwind.config.js. Shuffle-cipher deobfuscation with blockchain dead-drop C2 (TRON/Aptos/BSC). Part of confirmed DPRK Contagious Interview campaign targeting ~1,951 known victim repos."
843eaec0-8f1d-4a8c-a48a-9ac2a4f634d3,repository,null,https://github.com/yogeshtiwari12/blog_site_frontend,null,verified,2026-07-08 09:26:05.18016+00,2026-07-08 08:42:13.928076+00,"[""supply-chain"",""backdoor"",""dprk"",""contagious-interview"",""polinrider""]",null,"PolinRider backdoor injection (rmcej%otb% variant) - obfuscated JavaScript payload appended to src/App.js. Shuffle-cipher deobfuscation with blockchain dead-drop C2 (TRON/Aptos/BSC). Part of confirmed DPRK Contagious Interview campaign targeting ~1,951 known victim repos."
42afc342-3425-4f03-bb3f-18791c1995ec,repository,null,https://github.com/yasmine70-code/project-copie,null,verified,2026-07-08 09:26:05.18016+00,2026-07-08 08:42:13.324451+00,"[""supply-chain"",""backdoor"",""dprk"",""contagious-interview"",""polinrider""]",null,"PolinRider backdoor injection (rmcej%otb% variant) - obfuscated JavaScript payload appended to backend/routes/alerts.js. Shuffle-cipher deobfuscation with blockchain dead-drop C2 (TRON/Aptos/BSC). Part of confirmed DPRK Contagious Interview campaign targeting ~1,951 known victim repos."
6b1afdcb-a3a7-4c50-86c7-ce09d47578f5,repository,null,https://github.com/yaseen041/buyahouseinrosarito,null,verified,2026-07-08 09:26:05.18016+00,2026-07-08 08:42:12.644311+00,"[""supply-chain"",""backdoor"",""dprk"",""contagious-interview"",""polinrider""]",null,"PolinRider backdoor injection (rmcej%otb% variant) - obfuscated JavaScript payload appended to eslint.config.mjs. Shuffle-cipher deobfuscation with blockchain dead-drop C2 (TRON/Aptos/BSC). Part of confirmed DPRK Contagious Interview campaign targeting ~1,951 known victim repos."
bfbe4cd7-0a70-4dbf-b474-ba8a6fef49c3,repository,null,https://github.com/y0ngdev/cast,null,verified,2026-07-08 09:26:05.18016+00,2026-07-08 08:42:12.136232+00,"[""supply-chain"",""backdoor"",""dprk"",""contagious-interview"",""polinrider""]",null,"PolinRider backdoor injection (rmcej%otb% variant) - obfuscated JavaScript payload appended to tailwind.config.js. Shuffle-cipher deobfuscation with blockchain dead-drop C2 (TRON/Aptos/BSC). Part of confirmed DPRK Contagious Interview campaign targeting ~1,951 known victim repos."
8862fbd1-4ba6-4a43-92e5-b0ea83fda577,repository,null,https://github.com/xenitesh/box-game,null,verified,2026-07-08 09:26:05.18016+00,2026-07-08 08:42:10.379903+00,"[""supply-chain"",""backdoor"",""dprk"",""contagious-interview"",""polinrider""]",null,"PolinRider backdoor injection (rmcej%otb% variant) - obfuscated JavaScript payload appended to postcss.config.mjs. Shuffle-cipher deobfuscation with blockchain dead-drop C2 (TRON/Aptos/BSC). Part of confirmed DPRK Contagious Interview campaign targeting ~1,951 known victim repos."
f3b82284-3fec-4758-883d-b25c8c8bec8e,repository,null,https://github.com/wisdomedeki761/YouTube-short-creator-FE,null,verified,2026-07-08 09:26:05.18016+00,2026-07-08 08:42:10.073383+00,"[""supply-chain"",""backdoor"",""dprk"",""contagious-interview"",""polinrider""]",null,"PolinRider backdoor injection (rmcej%otb% variant) - obfuscated JavaScript payload appended to postcss.config.mjs. Shuffle-cipher deobfuscation with blockchain dead-drop C2 (TRON/Aptos/BSC). Part of confirmed DPRK Contagious Interview campaign targeting ~1,951 known victim repos."
